date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:04:53	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Nov%202024%2009:34:51%20GMT	https://uuerp.uttaranchaluniversity.ac.in/robots.txt		(from )
15:04:53	19068/19068	---M--	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2009:34:51%20GMT	https://uuerp.uttaranchaluniversity.ac.in/	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/index.html	(from )
15:04:55	93106/93106	---M-Z	200	added ('OK')	application/javascript	etag:%220d1dfaa1ca4d21:0%22	https://uuerp.uttaranchaluniversity.ac.in/js/jquery.js	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/js/jquery.js	(from https://uuerp.uttaranchaluniversity.ac.in/)
15:04:56	168649/168649	---M-Z	200	added ('OK')	text/css	etag:%220a1398a5f80d71:0%22	https://uuerp.uttaranchaluniversity.ac.in/css/bootstrap/bootstrap.min.css	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/css/bootstrap/bootstrap.min.css	(from https://uuerp.uttaranchaluniversity.ac.in/)
15:04:57	472/472	---M--	200	added ('OK')	application/javascript	etag:%22088c3a37e66d41:0%22	https://uuerp.uttaranchaluniversity.ac.in/js/demo-rtl.js	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/js/demo-rtl.js	(from https://uuerp.uttaranchaluniversity.ac.in/)
15:05:00	25248/25248	---M-Z	200	added ('OK')	text/css	etag:%220d83b81ec9fd71:0%22	https://uuerp.uttaranchaluniversity.ac.in/css/libs/font-awesome.css	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/css/libs/font-awesome.css	(from https://uuerp.uttaranchaluniversity.ac.in/)
15:05:01	6933/6933	---M-Z	200	added ('OK')	text/css	etag:%220f0e9a41ca4d21:0%22	https://uuerp.uttaranchaluniversity.ac.in/css/libs/nanoscroller.css	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/css/libs/nanoscroller.css	(from https://uuerp.uttaranchaluniversity.ac.in/)
15:05:02	230897/230897	---M-Z	200	added ('OK')	text/css	etag:%220bac15f89ada1:0%22	https://uuerp.uttaranchaluniversity.ac.in/css/compiled/theme_styles.css	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/css/compiled/theme_styles.css	(from https://uuerp.uttaranchaluniversity.ac.in/)
15:05:04	304439/304439	---M-Z	200	added ('OK')	application/javascript	etag:%220abc4fde4bad21:0%22	https://uuerp.uttaranchaluniversity.ac.in/Scripts/jquery-1.12.4.js	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/Scripts/jquery-1.12.4.js	(from https://uuerp.uttaranchaluniversity.ac.in/)
15:05:04	4030/4030	---M-Z	200	added ('OK')	application/javascript	etag:%2280eb8590a55db1:0%22	https://uuerp.uttaranchaluniversity.ac.in/ProjectJS_Org/Account/login.js	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/ProjectJS_Org/Account/login.js	(from https://uuerp.uttaranchaluniversity.ac.in/)
